PANEL XENIUM (INMUNO),,,,,ADD-ON GENES,,,
Gene,Ensemble ID,Annotation,,,Gene,Ensembl ID,Tissues,Cell types
CHIT1,ENSG00000133063,Dendritic Cell,,,,,,
CLEC10A,ENSG00000132514,Dendritic Cell;Myeloid,,,,,,
CLEC12A,ENSG00000172322,Monocyte;Non-Classical,,,,,,
CMKLR1,ENSG00000174600,Angiogenesis,,,,,,
CORO1A,ENSG00000102879,T Cell;Macrophage;Apoptosis,,,,,,
COTL1,ENSG00000103187,Tumor Suppression,,,,,,
CPA3,ENSG00000163751,Mast Cell,,,,,,
CSF1,ENSG00000184371,Monocyte;Macrophage,,,,,,
CSF1R,ENSG00000182578,Monocyte;Macrophage,,,,,,
CST7,ENSG00000077984,Natural Killer Cell;T Cell;CD8+,,,,,,
CTLA4,ENSG00000163599,T Cell;Regulatory;Exhausted;Checkpoint,,,,,,
CTNNB1,ENSG00000168036,Tumorigenesis,,,,,,
CTSB,ENSG00000164733,,,,,,,
CTSD,ENSG00000117984,Tumor,,,,,,
CTSL,ENSG00000135047,Metastasis,,,,,,
CTSS,ENSG00000163131,Tumor,,,,,,
CTSW,ENSG00000172543,Tumor,,,,,,
CX3CR1,ENSG00000168329,T Cell;Cancer Stemness,,,,,,
CXCL1,ENSG00000163739,Macrophage,,,,,,
CXCL10,ENSG00000169245,Immune Cell Migration;Neutrophil;Eosinophil;Monoyte;Epithelial Cell;Stromal Cell;Fibroblast,,,,,,
CXCL11,ENSG00000169248,Immune Cell Migration,,,,,,
CXCL12,ENSG00000107562,Tumor Suppression;Growth;Evasion,,,,,,
CXCL13,ENSG00000156234,T Cell;Regulatory;Chemokine,,,,,,
CXCL14,ENSG00000145824,Immune Cell Migration;Dendritic Cell;Chemokine,,,,,,
CXCL16,ENSG00000161921,Immune Cell Migration;Natural Killer T Cell,,,,,,
CXCL2,ENSG00000081041,Epithelial Cell;Tumor Differentiation,,,,,,
CXCL3,ENSG00000163734,Oncogene,,,,,,
CXCL5,ENSG00000163735,Macrophage;Chemokine,,,,,,
CXCL6,ENSG00000124875,Immune Cell Migration;Chemokine,,,,,,
CXCL9,ENSG00000138755,Immune Cell Migration;Chemokine,,,,,,
CXCR1,ENSG00000163464,Immune Cell Migration,,,,,,
CXCR2,ENSG00000180871,Immune Cell Migration,,,,,,
CXCR3,ENSG00000186810,Immune Cell Migration,,,,,,
CXCR4,ENSG00000121966,Immune Cell Migration,,,,,,
CXCR5,ENSG00000160683,Immune Cell Migration;Chemokine,,,,,,
CXCR6,ENSG00000172215,T Cell;CD8+;Effector Memory;Resident Memory,,,,,,
DCN,ENSG00000011465,Fibroblast;Lineage Marker,,,,,,
DERL3,ENSG00000099958,Plasma Cell,,,,,,
DGKA,ENSG00000065357,T Cell;Exhausted,,,,,,
DMBT1,ENSG00000187908,Tumor Suppression,,,,,,
DUSP2,ENSG00000158050,Tumorigenesis,,,,,,
EGF,ENSG00000138798,Macrophage;M2;Neutrophil;N2,,,,,,
EGFR,ENSG00000146648,Epithelial Cell;Oncogene,,,,,,
EGR3,ENSG00000179388,Metastasis,,,,,,
ENTPD1,ENSG00000138185,T Cell;Inhibitory,,,,,,
EOMES,ENSG00000163508,T Cell;CD8+,,,,,,
EPCAM,ENSG00000119888,Tumorigenesis,,,,,,
EPO,ENSG00000130427,,,,,,,
EPOR,ENSG00000187266,,,,,,,
ERBB2,ENSG00000141736,Oncogene,,,,,,
ERBB3,ENSG00000065361,Oncogene,,,,,,
ERBB4,ENSG00000178568,Oncogene,,,,,,
ESR1,ENSG00000091831,Oncogene,,,,,,
FABP3,ENSG00000121769,Dendritic Cell,,,,,,
FADD,ENSG00000168040,Apoptosis;Tumorigenesis,,,,,,
FAS,ENSG00000026103,T Cell,,,,,,
FASLG,ENSG00000117560,T Cell,,,,,,
FCER1A,ENSG00000179639,Dendritic Cell;Myeloid,,,,,,
FCER2,ENSG00000104921,TLS,,,,,,
FCGR1A,ENSG00000150337,Macrophage,,,,,,
FCGR2A,ENSG00000143226,,,,,,,
FCGR2B,ENSG00000072694,,,,,,,
FCGR3A,ENSG00000203747,Monocyte,,,,,,
FCMR,ENSG00000162894,B Cell,,,,,,
FCRL3,ENSG00000160856,,,,,,,
FEZ1,ENSG00000149557,Tumor Supression,,,,,,
FGF2,ENSG00000138685,Macrophage;M2;Neutrophil;N2,,,,,,
FGR,ENSG00000000938,Myeloid Cell;Oncogene,,,,,,
FHIT,ENSG00000189283,Tumor Supression,,,,,,
FKBP11,ENSG00000134285,Plasma Cell,,,,,,
FLT1,ENSG00000102755,Macrophage;Tumorigenesis;Metastasis,,,,,,
FLT3LG,ENSG00000090554,Dendritic Cell,,,,,,
FN1,ENSG00000115414,Fibroblast;Lineage Marker,,,,,,
FOS,ENSG00000170345,Proto-Oncogene,,,,,,
FOXP3,ENSG00000049768,T Cell;Regulatory,,,,,,
G0S2,ENSG00000123689,Cell Division,,,,,,
GATA2,ENSG00000179348,Oncogene,,,,,,
GATA3,ENSG00000107485,T Cell;Innate Lymphoid Cell;ILC2;Naive,,,,,,
GLIPR2,ENSG00000122694,Macrophage,,,,,,
GNLY,ENSG00000115523,T Cell;CD8+;Effector;Cytotoxic,,,,,,
GPR171,ENSG00000174946,T Cell,,,,,,
GPR183,ENSG00000169508,T Cell,,,,,,
GPR34,ENSG00000171659,Dendritic Cell,,,,,,
GZMA,ENSG00000145649,T Cell;Naive;CD8+,,,,,,
GZMB,ENSG00000100453,T Cell;Effector;CD8+,,,,,,
GZMH,ENSG00000100450,T Cell;Naive;CD8+,,,,,,
GZMK,ENSG00000113088,T Cell;Effector;CD8+;Exhausted,,,,,,
HAVCR2,ENSG00000135077,T Cell;Exhausted,,,,,,
HIF1A,ENSG00000100644,Oncogene,,,,,,
HLA-B,ENSG00000234745,,,,,,,
HPGDS,ENSG00000163106,Mast Cell,,,,,,
ICAM1,ENSG00000090339,Oncogene,,,,,,
ICOSLG,ENSG00000160223,T Cell;Dendritic Cell;Oncogene,,,,,,
ID1,ENSG00000125968,Tumorigenesis,,,,,,
ID2,ENSG00000115738,Tumorigenesis,,,,,,
ID4,ENSG00000172201,Tumorigenesis,,,,,,
IDO1,ENSG00000131203,Myeloid Cell;Suppression,,,,,,
IFIT2,ENSG00000119922,Tumorigenesis;Metastasis,,,,,,
IFIT3,ENSG00000119917,Tumorigenesis;Metastasis,,,,,,
IFITM3,ENSG00000142089,Tumorigenesis,,,,,,
IFNAR1,ENSG00000142166,Immune Signalling,,,,,,
IFNB1,ENSG00000171855,Immune Signalling,,,,,,
IFNGR1,ENSG00000027697,Immune Signalling,,,,,,
IFNL1,ENSG00000182393,Immune Signalling,,,,,,
IGFBP7,ENSG00000163453,Oncogene,,,,,,
IGHG1,ENSG00000211896,Plasma Cell,,,,,,
IGHG2,ENSG00000211893,Plasma Cell,,,,,,
IGHG3,ENSG00000211897,Plasma Cell,,,,,,
IGHG4,ENSG00000211892,Plasmablast,,,,,,
IGHGP,ENSG00000253755,Plasma Cell,,,,,,
IGHM,ENSG00000211899,B Cell;Naive;Plasma Cell;Plasmablast,,,,,,
IGKC,ENSG00000211592,Plasma Cell;Plasmablast,,,,,,
IGLC3,ENSG00000211679,Plasmablast,,,,,,
IL10,ENSG00000136634,Immune Cell Regulation,,,,,,
IL10RA,ENSG00000110324,Immune Cell Regulation,,,,,,
IL12B,ENSG00000113302,Immune Cell Regulation,,,,,,
IL12RB2,ENSG00000081985,Immune Cell Regulation,,,,,,
IL13,ENSG00000169194,Immune Cell Regulation;ILC2,,,,,,
IL13RA2,ENSG00000123496,Immune Cell Regulation,,,,,,
